"tweet_id";"content";"user_id";"isPositive"
"24";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Maswandi";"1"
"25";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Karsi";"1"
"26";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Fitria Wati";"1"
"27";"RT @KSPgoid: 6. Presiden @jokowi: Pertama, hati-hati dalam mengelola keuangannya, baik APBD dan APBN. Itu adalah uangnya rakyat, hati-hatiâ€";"Guardiol";"1"
"28";"Makasih pak @jokowi Tetap jaga @KPK_RI sbg Penjaga Uang Rakyat. APBN / APBD dari rakyat &amp utk kepentingan rakyat #Politic_ID #Politic_ID";"meigy renata";"1"
"29";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Romlah";"1"
"30";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Wonder WomanðŸ’ƒ";"1"
"31";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"ðŸ‡±AMBERTðŸ‡´14";"1"
"32";"RT @kompascom: Kemenkeu Jawab Kritik Jokowi Soal APBN dan APBD yang Masih Inefisien - https://t.co/4VOOkFAhXw https://t.co/F1UxvHUyQ1";"depdep13";"0.5"
"33";"Makasih pak @jokowi Tetap jaga @KPK_RI sbg Penjaga Uang Rakyat. APBN / APBD dari rakyat &amp utk kepentingan rakyat #Politic_ID #Politic_ID";"Ria Yunita";"1"
"34";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Umar Hamdan";"1"
"35";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Arief Sinchan";"1"
"36";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Irwan Santos";"1"
"37";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Farica Earlene";"1"
"38";"RT @kompascom: Kemenkeu Jawab Kritik Jokowi Soal APBN dan APBD yang Masih Inefisien - https://t.co/4VOOkFAhXw https://t.co/F1UxvHUyQ1";"SONORA FM98 SURABAYA";"0.5"
"39";"RT @kompascom: Kemenkeu Jawab Kritik Jokowi Soal APBN dan APBD yang Masih Inefisien - https://t.co/4VOOkFAhXw https://t.co/F1UxvHUyQ1";"Aida";"0.5"
"40";"RT @kompascom: Kemenkeu Jawab Kritik Jokowi Soal APBN dan APBD yang Masih Inefisien - https://t.co/4VOOkFAhXw https://t.co/F1UxvHUyQ1";"DonnyPradana87";"0.5"
"41";"Kemenkeu Jawab Kritik Jokowi Soal APBN dan APBD yang Masih Inefisien - https://t.co/h1ErxKTcBP https://t.co/PgwnGeWNoJ";"Penting Kamu Tau";"0.5"
"42";"Kemenkeu Jawab Kritik Jokowi Soal APBN dan APBD yang Masih Inefisien - https://t.co/4VOOkFAhXw https://t.co/F1UxvHUyQ1";"Kompas.com";"0.5"
"43";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Rinduâ„¢";"1"
"44";"Makasih pak @jokowi Tetap jaga @KPK_RI sbg Penjaga Uang Rakyat. APBN / APBD dari rakyat &amp utk kepentingan rakyat #Politic_ID #Politic_ID";"Muhamad Saifudin";"1"
"45";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Hj  Junaida";"1"
"46";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Seftia Selta";"1"
"47";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Rohamah";"1"
"48";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Jennie Tazon";"1"
"49";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Rieza Pahlevi";"1"
"50";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Abdulla Emir P #HOKI";"1"
"51";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"SayaPancasila";"1"
"52";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Marbela handayani";"1"
"53";"RT @CNNIndonesia: Presiden @jokowi mengeluhkan inefisiensi penggunaan APBN dan APBD. Berikut pernyataannya https://t.co/rSvtsEsBcM #CNNIndoâ";"Abdulla Emir P #HOKI";"0"
"54";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"BEJO";"1"
"55";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Kusnandar";"1"
"56";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Fikri Alamsyah";"1"
"57";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Lutfi";"1"
"58";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Lie Fenty";"1"
"59";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Guntur Nur";"1"
"60";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"naya deswita";"1"
"61";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Jreeengâ˜…R i R i";"1"
"62";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Heni Sawinah";"1"
"63";"Makasih pak @jokowi Tetap jaga @KPK_RI sbg Penjaga Uang Rakyat. APBN / APBD dari rakyat &amp utk kepentingan rakyat #Politic_ID #Politic_ID";"Luna Radinka";"1"
"64";"@TruthisP4in @digembok @prabowo Baca apa yg di tulis sm gigembok.. Prabowo puji ahok dan jokowi. Apa urusannya sm apbn apbd bodok";"bintang";"0"
"65";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Ibtisaama binti Zufa";"1"
"66";"RT @lani_juliani: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #";"ig: @_orangawam";"1"
"67";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Muchamad Juhri";"1"
"68";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Risnawaty";"1"
"69";"RT @korantempo: Jokowi: Hati-hati Kelola APBD atau APBN, Itu Uang Rakyat https://t.co/nvlIDDMmEo https://t.co/G8TTnluL8l";"yuliamulya";"1"
"70";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Irawati Pasaribu";"1"
"71";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Maysaroh";"1"
"72";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Marsiti";"1"
"73";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Marcellus Kasudarman";"1"
"74";"RT @KSPgoid: 6. Presiden @jokowi: Pertama, hati-hati dalam mengelola keuangannya, baik APBD dan APBN. Itu adalah uangnya rakyat, hati-hatiâ€";"Rumono Elang";"1"
"75";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Hanli W";"1"
"76";"Jokowi Soroti Inefisiensi APBN dan APBD https://t.co/durHqBrvKQ #KASKUSNews";"KASKUS";"0"
"77";"RT @korantempo: Jokowi: Hati-hati Kelola APBD atau APBN, Itu Uang Rakyat https://t.co/nvlIDDMmEo https://t.co/G8TTnluL8l";"Andi Denny P. Putra";"1"
"78";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Kunyati";"1"
"79";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Indivar Acharya";"1"
"80";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"Indah Tri Maynarni";"1"
"81";"""Pertama hati-hati dalam mengelola keuangan. Baik APBD dan APBN. Itu adalah uang rakyat. Hati-hati,"" ujar Jokowi. https://t.co/2eWSb1ynSm";"GKawi369";"1"
"82";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Farizky Aryapradanaîˆ®";"1"
"83";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"irawan latif";"1"
"84";"Jokowi: APBD dan APBN Adalah Uang Rakyat, Hati-Hati Mengelolanya - https://t.co/eJnqMtZ7EV https://t.co/gFgYUyFF66";"Redaksi Islam";"1"
"85";"RT @webwarouw1: Tertibkan...! Presiden Jokowi: Masih Banyak Inefisiensi APBN dan APBD https://t.co/SdhLGg2RCK @KemenkeuRI @anakmuda @KSPgâ";"bergelora.com";"1"
"86";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID #Politi";"ajay ngorejat";"1"
"87";"Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran. Link lengkap. #Politic_ID";"Asih";"1"
"88";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"achmad marendes";"1"
"89";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Ndaruning Tyas";"1"
"90";"Minta Akuntansi Negara Berorientasi Hasil, Presiden Jokowi: Banyak Inefisiensi APBN dan APBD https://t.co/e9b4K1sYYm https://t.co/5C16T3GjTB";"Alamat Toko Alat PJT";"0.5"
"91";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Donny";"1"
"92";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Ann Katchadorian";"1"
"93";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"#RIPJusticeIna";"1"
"94";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"#CABULERS #NDESO";"1"
"95";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Charlie";"1"
"96";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"Ilham";"1"
"97";"RT @KSPgoid: 6. Presiden @jokowi: Pertama, hati-hati dalam mengelola keuangannya, baik APBD dan APBN. Itu adalah uangnya rakyat, hati-hatiâ€";"Budiharjo";"1"
"98";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"budihardjo";"1"
"99";"RT @digembok: Pujian tulus dari @prabowo untuk Jokowi &amp Ahok berhasil menyelamatkan APBD senilai 25% dari Kebocoran Link lengkap seacrh ";"A/R/I/E/F";"1"
"100";"Makasih pak @jokowi Tetap jaga @KPK_RI sbg Penjaga Uang Rakyat. APBN / APBD dari rakyat &amp utk kepentingan rakyat #Politic_ID #Politic_ID";"Mauritz Jayadi";"1"
"101";"Sudah Debisit APBD kutai timur kaltim tapi Ribuan Honor diterima. Dana Insentip PNS aja 2 bln belum dibayar.@jokowi .@KPK_RI .@KejaksaanRI";"karim nababan.";"0"
"102";"Selama ini anggaran APBD di kutai timur maupun kabutpaten lainya dikaltim, tapi pembangunanya dan rakyatnya MISKIN.@jokowi .@KPK_RI";"karim nababan.";"0"
"103";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"dyah #jempol gue";"1"
"104";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Rizqi Ariandi A";"1"
"105";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Yonna Finarsih Rahmi";"1"
"106";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Fahriah";"1"
"107";"Koalisi Golkar-PDIP di Pilkada Jabar Dipastikan Jalan Terus https://t.co/bWhDqoV2pE";"M.A.R";"0.5"
"108";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Hamzah ashidiq";"1"
"109";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Mr. A-Z";"1"
"110";"PDIP Ancam Tinggalkan Golkar Jika Usung Ridwan Kamil di Pilgub Jabar https://t.co/epJwcw8n6p";"Nurizal";"0"
"111";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"x-hunter";"1"
"112";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"#JagalPasar";"1"
"113";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Jon Saradan";"1"
"115";"Surat Dukung Ridwan Kamil Muncul, Koalisi Golkar-PDIP Retak? https://t.co/zP7XWX1hQM";"Presiden_Golput";"0.5"
"116";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"ÕÑ–Táµ˜áµáµƒâ¿áµï¼§ï½…ï½‚ï½•ï½‹";"1"
"117";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Politik Twit";"1"
"118";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Save Negeri Tercinta";"1"
"119";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"suryahambaly";"1"
"120";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Don Juan";"1"
"121";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"â¤havefaithâ¤";"1"
"122";"@maspiyuuu Mantap... Muslim Vote Muslim.... Jangan pilih kandidat yang diusung Partai Pendukung Penista Agama (PDIP, GOLKAR, NASDEM, HANURA,";"OMAH DALEM AN SANTY";"0"
"123";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Dans";"1"
"124";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"cak_code";"1"
"125";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Rizal Kuddah";"1"
"126";"Koalisi Golkar-PDIP di Pilkada Jabar Dipastikan Jalan Terus https://t.co/qC0HO0KC19 https://t.co/8nbr0POCxG";"fashion";"0.5"
"127";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"#saverohingya";"1"
"128";"Koalisi Golkar-PDIP di Pilkada Jabar Dipastikan Jalan Terus https://t.co/kC5fypqPmj";"PDIP Online";"0.5"
"129";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Sang Domba Tersesat";"1"
"130";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"PRIBUMI";"1"
"131";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"ibaadurrahmaan 25:63";"1"
"132";"Koalisi Golkar-PDIP di Pilkada Jabar Dipastikan Jalan Terus. https://t.co/9qvA6drAOT https://t.co/K1YevqHLQP";"Wisma Berita";"0.5"
"133";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Jendral TemLen";"1"
"134";"Koalisi Golkar-PDIP di Pilkada Jabar Dipastikan Jalan Terus https://t.co/3mt1Xshmk3";"â™¥anindiaHDrayusariâ™¥";"0.5"
"135";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"gartin rido sulaiman";"1"
"136";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"#terkejut";"1"
"137";"PDIP Ancam Tinggalkan Golkar Jika Usung Ridwan Kamil di Pilgub Jabar https://t.co/epJwcw8n6p";"#KamiFPIAntiPKI";"0"
"138";"Koalisi Golkar-PDIP di Pilkada Jabar Dipastikan Jalan Terus https://t.co/3mt1Xshmk3";"PLANNER INDONESIA";"0.5"
"139";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Hasbunallah W N W";"1"
"140";"PDIP Ancam Tinggalkan Golkar Jika Usung Ridwan Kamil di Pilgub Jabar https://t.co/epJwcw8n6p";"Bobby";"0"
"141";"Koalisi Golkar-PDIP di Pilkada Jabar Dipastikan Jalan Terus - https://t.co/rzGlsEv2Cu https://t.co/LFZ39R2GZi";"Jokowi Presiden Kita";"0.5"
"142";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"ðŸ…±â„¢";"1"
"143";"PKS, PAN Gelar Nobar, Gerindra, PPP &amp Golkar Dukung Nobar Film G30S/PKI, Demokrat Semoga Menyusul. PDIP, Nasdem, PSI Katanya Saya Pancas";"Isanti Chandra";"1"
"144";"Koalisi Golkar-PDIP di Pilkada Jabar Dipastikan Jalan Terus https://t.co/LUQLwWhCww https://t.co/A08UOKDSoq";"Jihad Achmad Gojali";"0.5"
